Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales
Hyundai,F-150 Lightning,269.0,42255.78157084362,71.93390785421809,224.3497429664285,6.933664878975377,132.3678288350647,7.0,2020-09-01 00:00:00,2020-09-01 00:00:00,35.0
BMW,Air,280.0,48325.74469245925,57.56372346229623,149.41642438502626,6.142154428320269,94.71379155921868,5.0,2018-06-30 00:00:00,2018-06-30 00:00:00,27.0
Polestar,Leaf,170.0,75760.9420135516,77.28971006775802,116.02123634674096,5.928049690362764,147.08183066495616,5.0,2019-07-30 00:00:00,2021-06-14 00:00:00,32.0
Volvo,Mach-E,299.0,51079.95254490261,67.38976272451306,166.96942711865552,3.427391544919791,126.7641274541088,5.0,2017-03-08 00:00:00,2017-03-08 00:00:00,75.0
Rivian,EV6,328.0,28326.08842468308,68.89544212341538,214.47661841243976,6.399660267061346,66.28171634795949,4.0,2016-12-15 00:00:00,2016-12-15 00:00:00,100.0
Kia,Leaf,314.0,43621.18193708913,20.73090968544564,109.25554309613251,4.672635227313975,103.88305464688575,5.0,2017-12-13 00:00:00,2017-12-13 00:00:00,107.0
Polestar,XC40 Recharge,299.0,41841.17133554076,75.5008566777038,188.7436299355305,4.249392658711871,91.60008460485568,5.0,2017-07-04 00:00:00,2017-07-04 00:00:00,35.0
Ford,Kona,342.0,70463.70938295814,60.72854691479069,55.53776680192634,3.4604912303542745,127.86226832365094,2.0,2018-07-05 00:00:00,2018-07-05 00:00:00,71.0
Hyundai,Silverado EV,296.0,73442.90580313526,82.7395290156763,145.6843075860238,4.807321297915859,164.47880712207166,5.0,2023-09-05 00:00:00,2023-09-05 00:00:00,42.0
Jaguar,Kona,299.0,71175.31522132258,76.06657610661296,81.06883557442708,4.5331217198819305,160.2286031024963,5.0,2022-05-28 00:00:00,2022-05-28 00:00:00,149.0
Chevrolet,EQS,324.0,49801.08110914071,52.95540554570356,107.54662993059792,5.7265569496298285,116.29323425733192,5.0,2017-10-03 00:00:00,2017-10-03 00:00:00,20.0
Hyundai,R1T,371.0,67972.19226593542,73.44596132967709,209.581983903428,4.955536849063345,168.09235817912466,5.0,2023-12-13 00:00:00,2023-12-13 00:00:00,39.0
Rivian,R1T,316.0,55938.81295844395,78.22406479221975,132.4560907744376,5.754527993701004,121.30958669840416,7.0,2017-05-15 00:00:00,2017-05-15 00:00:00,92.0
Rivian,ID.Buzz,330.0,40322.96361194961,106.29981805974803,113.57035534295484,5.241335678842584,88.87443462818749,7.0,2023-12-13 00:00:00,2023-12-13 00:00:00,91.0
Kia,Kona,296.0,59155.10278671207,83.99051393356034,208.5875926703944,4.2195244586055685,141.49094221511467,5.0,2023-09-11 00:00:00,2023-09-11 00:00:00,91.0
Ford,Model Y,274.0,106259.03654079826,55.63018270399134,178.92503746362172,5.053676807260092,184.87700176832635,5.0,2015-04-19 00:00:00,2015-04-19 00:00:00,62.0
BMW,Air,324.0,47643.54147134064,104.1477073567032,56.29187814176102,5.810400768733353,114.82189227331207,5.0,2021-11-08 00:00:00,2021-11-08 00:00:00,41.0
Kia,EQE,375.0,29578.3617947128,70.876808973564,146.50199821649062,5.603978528831677,94.96360129249152,5.0,2017-04-15 00:00:00,2017-04-15 00:00:00,70.0
Kia,EQS,269.0,84540.40898818256,70.81204494091278,153.12438859240305,4.528437594921822,153.01631064646153,5.0,2018-08-15 00:00:00,2018-08-15 00:00:00,91.0
Chevrolet,EV6,287.0,73498.67570341387,104.12837851706934,189.04456768394687,4.310143665245259,153.8480341032152,7.0,2023-02-03 00:00:00,2023-02-03 00:00:00,29.0
