Model,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance
Model 3,0.3520714937415984,0.2731418734304836,0.010958805617570462
Model Y,0.34519194170525536,0.30927509300645095,0.014122115162089902
Leaf,0.2893006899892969,0.29347564505005286,0.00567075344316463
Ariya,0.2293056782920039,0.26764596671186475,0.01088246556062892
Bolt,0.36146796348682186,0.3447702927486194,0.014084806846881678
Silverado EV,0.23165873452355581,0.22358930088090057,0.011838354681390585
i3,0.25158820728381237,0.2959790038380312,0.008187700027437338
iX,0.3850232082059818,0.22063796436743927,0.007374686198932117
Mach-E,0.3547313958251681,0.25426244780919754,0.007845730268465466
F-150 Lightning,0.3723706855592896,0.23833752447802847,0.009458608727877077
ID.4,0.3964169268440478,0.22193371646691445,0.013560606837972621
ID.Buzz,0.2636479219175343,0.2911216761108203,0.008556907244134545
Kona,0.2593064878478121,0.34743766461654946,0.012807723858512698
Ioniq 5,0.20774502433988395,0.24619712536894697,0.005742468287790525
Niro,0.35847871223147554,0.23442052934781143,0.014531193577466444
EV6,0.3646614576318686,0.2226771130773201,0.010177893661559466
e-tron,0.31157122537360726,0.25630855642777917,0.006290996747911233
Q4 e-tron,0.2430724181151826,0.28584845053175884,0.010274775732354472
I-PACE,0.32935269182687593,0.26168935004696703,0.01345908871519309
R1T,0.3918459314586772,0.28578124816299716,0.013433575315750627
Air,0.3666756422763924,0.310050351848808,0.011442862764126609
2,0.211101124232662,0.3145433846526674,0.0074101027512167555
EQS,0.26179010099502315,0.3147436545838382,0.0061379226609715575
EQE,0.3419159627587639,0.2642346305835744,0.005740430490895721
XC40 Recharge,0.36951782581160963,0.3197503096018671,0.012318218574054005
